tj_x,tj_y,ty_z
20.563383503370556,11.922940232010205,7.67127570332583
20.533331682739245,11.952972191838372,7.615643253571905
20.50213435874128,11.978785368940885,7.55854328103916
20.470968823463675,12.000990257342908,7.499928843040369
20.440626204185453,12.020044602291811,7.439793517366477
20.41152062774279,12.03616807897566,7.378207001638066
20.383822464161817,12.049415156894714,7.315299715407866
20.35756848740326,12.059760229315495,7.251239523549193
20.33272617611189,12.067150422355663,7.186214569750426
20.309227479662542,12.071532275966502,7.120422392220612
20.28698601044875,12.07286377158576,7.054063186629919
20.265905837005164,12.07111907370668,6.987335513832953
20.245886139098584,12.066289821400398,6.920433421056332
20.22682383876591,12.058384818294392,6.853544411257105
20.20861522862052,12.047428987899494,6.7868479623491496
20.19115708372527,12.03346200220447,6.720514437737447
20.17434748722908,12.016536781100072,6.654704299033729
20.158086479135832,11.99671796335998,6.589567565317827
20.142276581187236,11.974080404020834,6.525243479362241
20.126823224824758,11.94870772997385,6.4618603492025555
20.11163509737727,11.920690972982387,6.399535537832442
20.096624416374194,11.890127291704788,6.3383755767256424
20.081707139622335,11.857118789211153,6.278476381259959
20.066803117728558,11.821771428845537,6.219923548309083
20.051836195319616,11.784194048587244,6.162792718396256
20.036734266951296,11.744497472043214,6.107149986883127
20.02142929345971,11.702793712704471,6.053052350673786
20.005857284231247,11.659195267019996,6.000548178815863
19.989958250541417,11.613814491102543,5.949677697150563
19.9736761347427,11.566763055418336,5.900473478782906
19.95695871967993,11.518151471571679,5.852960933602306
19.939757522293593,11.468088685229706,5.807158791379979
19.922027674949245,11.416681729302177,5.763079574106857
19.903727797616174,11.364035431663053,5.720730054221888
19.88481986361905,11.310252171947038,5.6801116962260245
19.86526906130855,11.255431682252528,5.641221079894192
19.84504365364547,11.199670886914323,5.604050303898618
19.824114837370026,11.143063776860277,5.568587369154891
19.802456603135163,11.085701314424366,5.5348165416092625
19.780045597720193,11.027671364845617,5.502718694513574
19.75686098920823,10.969058651031117,5.47227163049343
19.732884335806574,10.90994472849708,5.443450383915657
19.708099458812015,10.850407977721003,5.416227504211412
19.68249232007104,10.790523611438003,5.390573320919326
19.656050904156178,10.73036369469389,5.366456191285833
19.62876510537217,10.669997175725678,5.343842731303354
19.600626619617397,10.609489925976789,5.322698031086659
19.571628841054594,10.548904787769487,5.3029858554881955
19.541766763488937,10.488301628351493,5.284668830838435
19.511036886308702,10.42773739920822,5.267708618670873
19.47943712481246,10.367266199687558,5.252066077256099
19.446966724725463,10.306939344121758,5.237701411728017
19.413626180694905,10.246805431751941,5.224574313539714
19.379417158547803,10.186910418866313,5.21264408993873
19.344342421095178,10.127297692654688,5.201869784102748
19.308405757270645,10.068008146360482,5.192210286528354
19.271611914399728,10.009080255378459,5.18362443821843
19.23396653340713,9.95055015400318,5.176071126168624
19.195476086782104,9.89245171258064,5.169509371610761
19.156147819136244,9.83481661485502,5.163898411431442
19.115989690202987,9.777674435334946,5.159197773147598
19.075010320143292,9.721052716529979,5.155367343787627
19.03321893703692,9.664977045929403,5.152367432996923
18.99062532645331,9.609471132612267,5.150158830660104
18.947239783009717,9.554556883391061,5.148702859308888
18.903073063837127,9.500254478401958,5.147961421564267
18.858136343886052,9.446582446062768,5.147897042844057
18.812441173014843,9.393557737326313,5.148472909551993
18.765999434812386,9.341195799162122,5.149652902951822
18.718823307114913,9.289510647203725,5.151401628919275
18.670925224183517,9.238514937502625,5.153684443755898
18.622317840514324,9.188220037333519,5.15646747624142
18.573013996257767,9.138636094998857,5.159717646095167
18.523026684226707,9.089772108584407,5.163402679011959
18.4723690184755,9.041635993621366,5.167491118433527
18.421054204433734,8.994234649614784,5.1719523342127065
