8.173495251660159999e-01,5.030869486080717934e-01,5.579056595115224892e-01,5.404651851805393203e-01,4.819399042438264336e-01,6.466506978134687333e-01,5.849043584752722236e-01,8.013326986208738623e-01,7.493748980134237181e-01,5.872415644688773195e-01
5.980421665040424051e-01,5.710731027104252178e-01,5.527262588423483836e-01,4.398198704863982011e-01,8.402526308715740910e-01,7.147841936976101485e-01,5.627826553586430247e-01,6.556698601517462199e-01,6.969197194951117780e-01,6.495377805351145728e-01
6.671214619977220428e-01,5.875975074759292038e-01,7.053273871376152249e-01,5.590245043343824438e-01,7.754792925087594657e-01,7.754112840836617782e-01,6.795677560205162226e-01,6.596122356639260165e-01,7.356009566412804457e-01,7.391833524565620817e-01
8.387846976251891462e-01,4.613641185406686662e-01,5.256748979645627928e-01,7.774277726748293205e-01,8.966855899329034818e-01,7.474859301639916742e-01,8.657516185348800297e-01,4.131652164518172521e-01,3.890251730048507883e-01,5.953043959451305156e-01
7.318563524057257741e-01,6.637965975972137667e-01,6.060306258303000959e-01,6.256299700978289469e-01,7.052983417923923692e-01,7.865246536938114152e-01,7.498938150897689336e-01,8.123406663751315815e-01,7.626790615936174245e-01,5.783591810718611281e-01
5.486194543913017752e-01,4.608054043186876614e-01,6.572085672628433795e-01,7.015708000680828116e-01,6.940994339056463236e-01,7.398507983659202702e-01,7.219996376737226607e-01,7.780228077070806547e-01,7.710562040762345415e-01,5.881090114101634736e-01
7.726037245681934840e-01,5.808392167157483410e-01,8.550335058481610684e-01,6.688157962597730544e-01,6.996697512011846865e-01,7.062166006127241769e-01,7.453512404121036550e-01,8.105760138047737318e-01,8.022680467212384148e-01,8.242569799782403228e-01
5.270477039118818263e-01,4.919093514793682620e-01,7.954805059662173328e-01,5.574320763154091418e-01,7.743610728179602942e-01,7.123501897702202434e-01,8.167233724811022721e-01,8.187512918283845753e-01,4.767241262403465463e-01,6.623658242789562944e-01
7.095871853622199854e-01,5.583828681543296923e-01,6.739864673582814936e-01,5.703350116126341129e-01,6.642861010499629959e-01,8.138400223571610193e-01,7.873575717882641545e-01,3.930000231579580672e-01,7.310846178228528336e-01,7.250369958568396722e-01
3.769053430676597705e-01,6.603295923085997776e-01,3.705504028313565956e-01,6.100643507033236546e-01,5.536452060188224999e-01,3.410340030890866014e-01,6.618893430561070268e-01,7.108649610831869747e-01,8.546482528568919435e-01,7.316740208885398333e-01
