8.486347129791326216e-01,7.559845335247832310e-01,8.661949503332829758e-01,7.333417354900900742e-01,8.466328379789399561e-01,7.595503874543516609e-01,7.807435822592504460e-01,8.159846859840188538e-01,7.728297370928002286e-01,7.786303463562571636e-01
7.337256745714726414e-01,8.862872681809341735e-01,8.235281560632881082e-01,9.700283528037930703e-01,9.586948805517107042e-01,8.845554421488044383e-01,9.321362213749031511e-01,7.001751511975548015e-01,9.000873805737445998e-01,8.040601586076195906e-01
8.179342017363403494e-01,8.381195585555847316e-01,8.913020581344505144e-01,9.758337071829777942e-01,7.197330098113918773e-01,7.279639729214292254e-01,9.800343390021694079e-01,8.467477071976348135e-01,7.643831759718383578e-01,7.791192067125081167e-01
8.833692980517006133e-01,5.883015106852258480e-01,9.861092985573179925e-01,8.754216999008098687e-01,8.169419891968812131e-01,7.828651271699883507e-01,7.018418679270048699e-01,9.491130610189667527e-01,8.603534211119208130e-01,9.335259634976043053e-01
7.768278049476954328e-01,9.687438207971462711e-01,9.770649397855907248e-01,6.667827132215564667e-01,7.741813879350875061e-01,8.709247841089911013e-01,7.904669433590516547e-01,9.561595258011080789e-01,9.881959934969050119e-01,7.122157976039881211e-01
9.636369312454636793e-01,9.834113780593677356e-01,9.073904874697459322e-01,8.101821148522071470e-01,8.237310257866433671e-01,8.145121438268912994e-01,8.284382311360120044e-01,8.935898524195153847e-01,9.928056767798919546e-01,9.399176438111011000e-01
9.901137054550667171e-01,9.801210280161400945e-01,9.440006213729551510e-01,8.148271663762672867e-01,8.691253645745926626e-01,8.116987652745001336e-01,8.601525232386929565e-01,9.493014298468773760e-01,9.587280746911558404e-01,9.931101380230057396e-01
9.848899134398928501e-01,9.407986765780629312e-01,7.096220441238184629e-01,8.523009147401886532e-01,8.015977702637665514e-01,7.685209481715354896e-01,9.272865539498825749e-01,8.751006977881686799e-01,7.408806017240704422e-01,9.607186429265980321e-01
9.917553557970562039e-01,9.435663076156778351e-01,7.813585593075481617e-01,8.202197214280064763e-01,8.139732221006608093e-01,7.922180042644179077e-01,8.206072922030752670e-01,7.854257805443225493e-01,8.335344671548731155e-01,9.540205862414999904e-01
9.763168469280342210e-01,8.857060527508391345e-01,8.860341585903576123e-01,6.590762877920749441e-01,7.882345696636517962e-01,7.669226748798806392e-01,8.006408660480057726e-01,7.607971574404047699e-01,7.444173475602048340e-01,7.085866913255686184e-01
