8.169807893713740832e-01,8.002056660662286713e-01,8.051281752055660101e-01,8.111754432818568672e-01,8.407550243046622018e-01,8.249461352095409650e-01,8.213327716482866636e-01,8.184166667828426389e-01,8.300530013997901024e-01,8.169038091684612812e-01
8.265652877977183177e-01,7.274199557058587118e-01,9.111758939848753069e-01,8.173588867152440374e-01,8.677240654985183266e-01,6.253678495565844209e-01,8.475735239297970125e-01,8.093405236051587348e-01,8.992578832002872113e-01,7.773255239592360422e-01
8.666705956559912494e-01,7.954659191358267600e-01,6.837902390548872278e-01,9.999855355191737960e-01,7.028614341647226871e-01,8.915615433482176888e-01,9.999509127130381536e-01,9.152769086642802421e-01,6.505091427029586759e-01,7.724760549628972850e-01
8.446260832435739108e-01,9.463939567914142481e-01,9.972870035463187177e-01,8.509732038577484392e-01,8.059946984204608977e-01,7.817849724755228102e-01,6.767818285032363157e-01,9.967071216818890189e-01,7.878432078696253615e-01,8.802241939352395406e-01
9.643666024719637075e-01,9.947517481609008394e-01,9.968650865984064469e-01,8.928079195447222727e-01,5.451068911004669504e-01,8.354033929379316437e-01,8.335318278531151925e-01,9.972793541572158027e-01,9.946364707355705992e-01,9.059144879309725118e-01
9.843917118195523175e-01,9.997449999810706922e-01,9.476998217967347315e-01,8.700454744822678776e-01,7.944838774429014983e-01,8.192979465720056087e-01,9.070063407150410484e-01,7.955102997077291294e-01,9.987639984416007977e-01,9.884692603335032413e-01
9.996685875831101686e-01,9.784154617804967646e-01,7.082229772188592953e-01,8.136666124357114782e-01,6.598033790317452407e-01,8.080100851148247498e-01,8.583723679761292580e-01,8.950483974121654640e-01,9.846781330792564457e-01,9.991212470952682834e-01
9.982023154701276102e-01,4.939421348573769244e-01,8.446639508756803583e-01,4.021375741227627976e-01,8.267240092992482747e-01,8.420556443390876389e-01,8.037910097033218459e-01,9.150220527458140518e-01,3.060062496849892399e-01,9.985019036120356128e-01
9.777909015191951214e-01,8.756636920171513294e-01,8.294578446531238880e-01,8.104798375801741672e-01,7.972605039998018617e-01,8.295096537786582624e-01,8.082849399064169216e-01,8.030787523129976346e-01,7.383125804557829630e-01,9.033127296399495743e-01
8.284360861888212524e-01,9.497235824670112736e-01,7.852074980613293897e-01,8.479681253022474108e-01,8.161478400071213724e-01,8.155745064249891874e-01,8.170706971741292790e-01,8.636309426168813363e-01,7.617090732991298463e-01,4.399675813032639105e-01
