-7.122666160759603127e-01,-7.959570028046256684e-01,-6.090932630531364911e-01,-7.007944889713529912e-01,-8.079173737064933025e-01,-8.715539612834375394e-01,-7.830571615664969620e-01,-7.850300869466948495e-01,-8.703167343956954571e-01,-9.087441536338559667e-01,-8.396179113179543796e-01,-9.107967599750577126e-01,-9.467392359970915328e-01,-9.379762326657383742e-01,-8.756667146123296996e-01,-8.331553516417455896e-01,-8.554187327109881167e-01,-8.886007221521781130e-01,-9.156451514281869208e-01,-8.637560357897828833e-01
-7.938075954597719752e-01,-6.265999678168527875e-01,-7.049351276786584020e-01,-8.015650144230461738e-01,-8.213364244491965227e-01,-7.034076026856279640e-01,-8.400077548130889804e-01,-8.453595463075249672e-01,-8.298612396169987582e-01,-7.527985459789443556e-01,-8.063382867986860214e-01,-7.785787443400588037e-01,-8.357437729065713139e-01,-9.025664017038887987e-01,-8.172504797975506108e-01,-9.396804953024588958e-01,-8.592124165515674372e-01,-9.084088204366518315e-01,-9.273402568090285403e-01,-8.485367277766713290e-01
-7.625817788766465766e-01,-6.857047651150628420e-01,-8.999597156709036039e-01,-7.758114604842040185e-01,-7.855038677617047771e-01,-8.256004117223589844e-01,-7.171410078664524068e-01,-6.740925304824157971e-01,-6.572707433867959192e-01,-8.534415649704369944e-01,-8.597988008739664290e-01,-7.826216093661962914e-01,-8.417500956080250507e-01,-7.369826510172933220e-01,-8.062499801073664818e-01,-8.592009122162732604e-01,-7.327886947097616011e-01,-8.395689537581473294e-01,-9.292134622655611187e-01,-9.211816491252742267e-01
-8.358215486178947051e-01,-6.418128779839853415e-01,-7.541835088823940492e-01,-3.000978545986232038e-01,-8.444990491938291211e-01,-8.327456492519296205e-01,-8.625275293882607164e-01,-6.357895900354950669e-01,-8.372276102083990867e-01,-8.106623767327338914e-01,-7.856427941799796200e-01,-8.011051198132740359e-01,-8.514973882439138553e-01,-7.929762100597540497e-01,-7.537910004459419389e-01,-7.589180392512107076e-01,-6.807415000424515972e-01,-6.850533163144637561e-01,-8.175823792593843731e-01,-8.221050334561269546e-01
-7.769710180362002783e-01,-8.616355528266753661e-01,-6.246938751829217429e-01,-7.792399622969851114e-01,-7.678470051167173294e-01,-7.731243219093806296e-01,-6.478851688030232703e-01,-8.343181676380140299e-01,-5.998029358815812895e-01,-6.194628215280936212e-01,-7.631075152773182380e-01,-8.524318177035168365e-01,-8.035841556566616362e-01,-6.961599266198470470e-01,-8.404156795573836103e-01,-7.744980229504521141e-01,-7.982048274029494017e-01,-7.728865360726523415e-01,-8.622950008498593277e-01,-8.080509794013442937e-01
-7.373759842926779218e-01,-5.360645622422371970e-01,-6.417115874660369590e-01,-6.149544026454130119e-01,-5.711247626822266721e-01,-8.124294120587276513e-01,-5.318879763217763124e-01,-8.612163782988384586e-01,-8.923501197471714885e-01,-8.285832234841128408e-01,-7.010011068198418460e-01,-7.507898760557080164e-01,-7.001330382843508060e-01,-7.831726478305520711e-01,-7.184736972307590452e-01,-6.819746694690306255e-01,-8.655698126122650660e-01,-8.394366195140626763e-01,-8.246644777550982131e-01,-7.882693957037798516e-01
-6.896854120660381726e-01,-8.408494450419029542e-01,-7.879062327218377959e-01,-7.178726507679100699e-01,-8.007907812432721872e-01,-7.031339025465387360e-01,-5.029890786177638740e-01,-7.704665449297710689e-01,-6.445839018443085822e-01,-7.337039183184260738e-01,-7.538628304161589799e-01,-8.126009386525476774e-01,-7.007903943419621084e-01,-6.461139508580588942e-01,-8.080330428771052009e-01,-8.052070513019173870e-01,-7.521535569938617716e-01,-7.939249496159735964e-01,-7.054267062920264175e-01,-7.353355647746686596e-01
-7.103038215932337973e-01,-6.804650781499447243e-01,-5.333269683966637142e-01,-7.422109699747456713e-01,-6.250103249633461866e-01,-6.254495587765745990e-01,-6.464101478782535715e-01,-7.662576695036121821e-01,-6.570637956619106435e-01,-6.149415789556511580e-01,-8.769132570923081627e-01,-8.473140220513984966e-01,-8.735396407071448488e-01,-8.349421743923018946e-01,-7.726199747464547185e-01,-7.895307241313782587e-01,-7.865558600628912433e-01,-7.931144789857693667e-01,-8.618231180520726786e-01,-8.443785366308855789e-01
-7.935321311314498249e-01,-7.861391821755869813e-01,-8.832821081365782590e-01,-8.488506127174467730e-01,-6.906768110727382615e-01,-6.752030538429598661e-01,-7.337649076631042044e-01,-7.181972109598794285e-01,-6.953817275204889903e-01,-6.670636138036281082e-01,-6.699340332059235958e-01,-6.884369736921123195e-01,-8.154900490880695463e-01,-8.616000960271270603e-01,-8.928639361797813256e-01,-8.411023296262996052e-01,-8.224615935933601296e-01,-8.164598289396431952e-01,-6.253051296948212157e-01,-7.893461984395212516e-01
-6.544271011455771170e-01,-5.800799742730491371e-01,-6.237080495775481070e-01,-7.999841350925412931e-01,-7.344254373628766874e-01,-6.986383786489137604e-01,-8.867281401447094646e-01,-7.931481140353715542e-01,-8.229557409901666620e-01,-8.754762225441025114e-01,-6.899103447272311174e-01,-8.615897985162657147e-01,-8.407355474295862274e-01,-8.679843141559395736e-01,-6.784511141972787707e-01,-7.670154837083661414e-01,-7.614150130031982489e-01,-6.261379574187725394e-01,-8.648600219721366278e-01,-7.461942922590170113e-01
