4.539502892127246225e-01,4.927569864588878246e-01,6.638186308943602176e-01,8.182492678938767527e-01,8.127379387970148361e-01,8.132606220607189185e-01,8.156374966751942512e-01,8.161853289886047413e-01,8.180797968067187176e-01,8.170458009349136352e-01,8.163932246760898792e-01,8.161244397332543254e-01,8.146577509068955170e-01,8.163809354598918766e-01,8.165258898436010826e-01,8.156404735487657875e-01,8.156501459340085303e-01,8.163673835294211756e-01,8.159273659741320683e-01,8.161720011463649005e-01,8.168710035279899140e-01,8.158243509468635635e-01,8.156590974458872711e-01,8.162384910795108528e-01,8.157799371026459578e-01,8.159767427095259151e-01,8.160637116418286707e-01,8.159728687718537099e-01,8.162506327519486460e-01,8.158879682763983121e-01,8.163909906790026705e-01,8.158785629130695938e-01,8.161038531986624101e-01,8.164708578604639166e-01,8.164751208305691677e-01,8.158963956027530662e-01,8.163339841378191020e-01,8.159170826255628395e-01,8.158037187395246193e-01,8.159813367916894933e-01
4.600210955012247194e-01,6.466556961174619866e-01,8.238424991993406055e-01,8.457855668919755932e-01,8.387412328746354229e-01,8.330818005425985051e-01,8.108476145576783978e-01,8.078563639981204414e-01,7.979513536493871850e-01,8.027456465559419385e-01,8.103065878696570357e-01,8.148579619383978789e-01,8.185732755416827988e-01,8.189704862960559550e-01,8.174842191746717335e-01,8.217418145692431120e-01,8.152059072160076081e-01,8.139296673551410510e-01,8.128267907224950850e-01,8.156426687867518455e-01,8.144460323871741680e-01,8.108012394131905998e-01,8.132225388366223218e-01,8.150036462890885014e-01,8.175645759776895005e-01,8.203300803534130381e-01,8.148616112246924725e-01,8.142906927028598085e-01,8.133539269236783609e-01,8.128915611383087381e-01,8.171608530431019313e-01,8.208861513045864200e-01,8.183233454198500789e-01,8.159027233340455654e-01,8.174728078613370252e-01,8.150590909642225768e-01,8.161929789383541856e-01,8.164199434539153311e-01,8.179550376965758485e-01,8.156546203576244825e-01
5.821064366110161314e-01,5.391605381008142128e-01,7.642702985717148012e-01,9.993144004837886119e-01,7.115247067886446564e-01,8.680366523012489344e-01,8.522083415859266209e-01,8.532555671364890904e-01,8.157722383813731382e-01,7.951165007439519039e-01,8.219736155688779355e-01,8.176713468391136885e-01,8.278143723396851339e-01,8.255828806403043840e-01,8.052141037757288844e-01,8.172669935439486055e-01,8.270193336495288428e-01,8.123928385472342084e-01,8.214974636777293560e-01,8.179984827376036716e-01,8.167651703284543041e-01,8.134689768309002478e-01,8.190981071405422087e-01,8.066903294373778399e-01,8.138601834838575799e-01,8.182590904779966090e-01,8.187414406127054844e-01,8.238299730834587331e-01,8.179468658572034423e-01,8.201358053792520142e-01,8.095365951744500910e-01,8.091336653396156153e-01,8.180441439835225426e-01,8.187727871833003768e-01,8.170399348700091435e-01,8.254503079782219421e-01,8.164578348643678485e-01,8.111933524587315869e-01,8.090269098751847743e-01,8.126777401447772275e-01
8.156771771520392456e-01,8.128021382422777608e-01,8.448287493856123653e-01,6.931082086021000954e-01,9.955235124964271209e-01,9.919461184888916927e-01,7.136269684327266605e-01,7.997489029974390595e-01,8.231236454949478754e-01,8.030070332696075397e-01,8.343973459900062561e-01,8.176448626740808745e-01,8.110372576909024023e-01,8.255460164883132723e-01,8.025369820999788129e-01,8.199450451780797566e-01,8.113328472060908902e-01,8.388857727813515686e-01,8.190721163222618451e-01,8.134045487973085020e-01,8.289461665506596688e-01,8.149965227140092416e-01,8.333749866631251502e-01,8.151323295670553915e-01,8.238766502102219391e-01,8.041115471648672131e-01,8.097942269165702145e-01,8.143364817024076885e-01,8.187907301841672592e-01,8.060698504369877559e-01,7.938601198224587430e-01,8.159176394853621117e-01,8.212361797752176784e-01,8.189325148393525877e-01,8.296163312871743800e-01,8.131900444778863424e-01,8.095951587105351122e-01,8.177530052282242501e-01,8.150458084068986642e-01,8.158560547265789609e-01
8.172431164330689057e-01,8.176681486686814271e-01,8.431252708186851574e-01,8.642925058714366893e-01,7.431623913978423479e-01,9.695821372347793732e-01,9.990772266445338001e-01,9.861398475463285518e-01,7.554957152748511540e-01,8.109863731588972113e-01,8.344933973920316550e-01,8.044752621925665981e-01,8.224618169612744056e-01,8.137554997297130610e-01,8.300479673083629439e-01,7.864900282565155942e-01,8.120480948368367091e-01,8.240176782980376258e-01,7.917982824336116110e-01,8.241278835668819358e-01,8.045292143501958648e-01,8.271167628684232831e-01,8.182267028540709530e-01,8.175374420034469125e-01,8.220216757508530536e-01,8.396120771832662477e-01,8.119856376760756778e-01,8.155468771448163290e-01,8.281826775509421035e-01,8.059794967907588648e-01,8.152592846656163683e-01,8.154374624136131455e-01,8.201858122393951289e-01,8.017080893852782664e-01,8.063811673591810836e-01,8.102742120255567171e-01,8.144981842813467932e-01,8.094424994396934858e-01,8.121003976883409692e-01,8.148830291540209991e-01
8.172756775326865952e-01,8.253915889068901279e-01,8.088084727903915860e-01,8.088683126355320496e-01,8.132698090886745224e-01,8.345344282738635933e-01,2.322395468458389456e-01,9.996430758334062805e-01,9.955808388981404189e-01,9.848810871875809392e-01,7.362147409542596499e-01,7.651414681158995590e-01,8.621065903941760311e-01,8.367830057186456116e-01,8.590018783399748781e-01,8.268870930088704219e-01,8.682788750733534400e-01,8.423701185449075091e-01,8.627481568575922077e-01,8.378431003857166326e-01,8.030930287944429979e-01,8.063437131762786203e-01,8.021011849070559530e-01,8.214901966526443333e-01,8.011070371592944328e-01,8.142223208085875852e-01,8.132657446014974756e-01,8.322739293765812896e-01,8.233842550000503024e-01,8.358577811198314444e-01,8.133840911910947824e-01,8.236234906920908427e-01,8.356981938807004351e-01,8.111317450315492783e-01,8.228564374641025303e-01,8.247211063558766986e-01,8.306199013186327251e-01,8.229940556386271533e-01,8.139549098508538361e-01,8.301827579588780814e-01
8.168094822792769660e-01,8.301012800286422522e-01,8.243386128391584355e-01,8.448127882252107756e-01,8.326705172619059958e-01,8.414831388548570379e-01,7.667494359146480587e-01,8.293784541530955234e-01,9.968695765951097743e-01,9.986310234507875805e-01,9.912780511050285348e-01,9.409742868799465532e-01,7.414017550496573294e-01,8.099663768284173226e-01,8.896208359195683091e-01,8.072910683034337787e-01,8.620937716631775771e-01,8.404498429951259286e-01,8.165818153709164529e-01,8.439380997417256225e-01,8.561666851437724768e-01,8.299426217219579849e-01,8.037032668890705667e-01,8.144319822977303946e-01,8.384221286466176926e-01,8.403839396708406850e-01,8.140801134705555331e-01,8.218749398919005245e-01,7.926890501887552398e-01,7.921317368666971337e-01,8.226723614312607680e-01,8.057657127478878856e-01,8.265650673234408163e-01,7.997646163925123952e-01,8.120718721929649497e-01,8.092907062614942415e-01,8.180024579412860097e-01,8.018614780498837247e-01,8.382714901518676376e-01,8.243729508129762351e-01
8.154951447637498463e-01,8.192181901528616805e-01,8.195159290289762977e-01,8.159487613576105192e-01,8.411837082529869392e-01,8.369817991393703194e-01,8.077467850690658313e-01,7.030373697135269273e-01,8.336696245024461938e-01,9.885319304548876307e-01,9.998860594138996305e-01,9.955707685098563742e-01,9.889376082770582332e-01,9.800786563587642330e-01,7.312526860271115758e-01,8.629039784581867822e-01,8.324942729734335911e-01,8.644524313202153198e-01,8.320361205312261088e-01,7.662999837251674995e-01,8.564413963013806086e-01,8.107727869622896044e-01,8.328956837622503162e-01,8.334228854672561804e-01,8.222336077914392805e-01,8.084396951969098355e-01,7.718392377433862528e-01,8.104145336240585751e-01,8.364387487286445433e-01,8.305488162788751128e-01,8.114050251513180712e-01,8.092545088667874031e-01,8.251605685112487487e-01,8.315584883656756965e-01,7.831746458430184354e-01,8.194785954158849695e-01,8.015991867665902548e-01,8.092736229257322389e-01,8.192843518800344560e-01,8.240854491942029014e-01
8.158076177904390880e-01,8.181789050788362827e-01,8.160674959216182023e-01,8.049682749653934710e-01,7.918347304542175946e-01,8.300134946881831954e-01,8.491549886498229727e-01,8.107956088812124928e-01,7.830874957765339150e-01,8.387560003733254277e-01,9.903200792448387801e-01,9.992612282819194336e-01,9.989895839776997688e-01,9.948054329608383428e-01,9.874425835211341207e-01,7.630778763994146008e-01,7.517424079146015625e-01,8.034227227073628130e-01,7.783479459251737564e-01,8.158867906711778639e-01,8.160549313347847944e-01,8.493238663284696788e-01,8.475915158192777188e-01,7.880092878720379446e-01,7.943854884808769778e-01,8.097061166961919687e-01,8.025160708952180366e-01,8.584275821300056952e-01,8.321876044391796068e-01,8.024649363120289758e-01,8.579231821298826111e-01,8.085148079336478277e-01,8.453770436165141122e-01,8.144376442229958046e-01,8.074516198443428827e-01,7.903095316779198409e-01,8.170218976764109797e-01,8.045215489884279814e-01,8.093098969657936959e-01,8.079570149176736882e-01
8.173377756945369166e-01,8.167734937017155916e-01,8.152767526918220931e-01,8.348474791399239647e-01,8.596084934052635740e-01,7.953920137026707637e-01,8.055883427625675219e-01,7.904169238712582812e-01,7.336268369882257279e-01,7.125041894216722627e-01,8.565640102149900681e-01,9.422211951579195777e-01,9.971656243026802979e-01,9.998029759021757057e-01,9.968942661790085591e-01,9.919871137901578040e-01,9.865686665999716665e-01,7.989993264152017716e-01,7.866335861024292830e-01,7.704834259487018944e-01,7.856211036125770875e-01,8.523901203278094751e-01,8.505605373883784459e-01,8.606759142979527599e-01,8.709528314972106999e-01,8.651936285180473751e-01,8.180243753669762530e-01,7.758801639068728662e-01,8.043014183243045734e-01,8.658421873080974773e-01,8.451534646931316841e-01,8.613557459783701686e-01,8.323124845845674136e-01,8.253554367640335565e-01,8.312262747647285455e-01,8.391867869008082792e-01,8.139797750921240471e-01,8.158548259182207829e-01,8.071241575817666991e-01,7.988638184023330036e-01
