8.160808501247179825e-01,8.157805527799775192e-01,8.160855939952768034e-01,6.846657514178894344e-01,8.160827434495278032e-01,8.160888362457372480e-01,8.160832742256338701e-01,5.704308306651021399e-01,7.015283585644900288e-01,7.105750890178115231e-01,8.160831146535503233e-01,7.158502957919739007e-01,8.160831512152576517e-01,8.160831844746546659e-01,8.160831767215362964e-01,7.110652985519473335e-01,6.759639596557802665e-01,8.160848059299492530e-01,8.160832053184048362e-01,8.160927718634078953e-01
8.160846732857974795e-01,6.300794592764150659e-01,8.160834769091589447e-01,7.131339695931678824e-01,8.160828004340203723e-01,7.192517745448030464e-01,6.496770932700488554e-01,7.183016669494092232e-01,4.579739886646813640e-01,8.160925848003195426e-01,8.160831212605879070e-01,8.160831914617659999e-01,6.636723786405686054e-01,8.160831664624426107e-01,7.149335030330734586e-01,8.160884237491474735e-01,8.160924117367592823e-01,8.160832059417739703e-01,8.160832048391407634e-01,8.160832169345024756e-01
8.160910915518535536e-01,8.160824571559592844e-01,7.050241364935585509e-01,8.157217836527677068e-01,8.160943581823165704e-01,7.055869528546544478e-01,8.160830658912804347e-01,8.160830418930951069e-01,6.952023379168019712e-01,8.160912138020783857e-01,7.097085995806741154e-01,6.222827838517343002e-01,6.120063162819133762e-01,8.160833609445617975e-01,7.280538004035419508e-01,8.160914442136186775e-01,6.723324927965133035e-01,7.035726950501329791e-01,8.160832056724751649e-01,8.160832265826973853e-01
8.160908148661331074e-01,8.160841218354555338e-01,7.161503353205447286e-01,6.996354633670038847e-01,8.160851095534603639e-01,7.032261920190735482e-01,8.160830232764956227e-01,8.160861189047597941e-01,8.160831211648806871e-01,7.062347593458619954e-01,8.160831324488231342e-01,8.160831482596272446e-01,7.069118707466139906e-01,8.160831811651716450e-01,6.514142378997777039e-01,8.160831894713641566e-01,6.425013721522313537e-01,8.150044032269795347e-01,8.160841016075155441e-01,7.071107873249641296e-01
8.160830251699007221e-01,7.033324797566323783e-01,7.294800806846184482e-01,8.151432175702817418e-01,8.160838720664852497e-01,8.160831259407995697e-01,8.160830575986128821e-01,8.160830783604527960e-01,8.160831569752400316e-01,6.904727817956649583e-01,8.160831425677190776e-01,8.160138089104693737e-01,6.971799685980542005e-01,6.919043890702434307e-01,8.159672362941801094e-01,7.593304661588510251e-01,8.160832388518525216e-01,8.160832033027215493e-01,8.149612810604305313e-01,8.160842564894889017e-01
7.063596151648291466e-01,8.160829018455861839e-01,7.904495649945648683e-01,8.160834484129537714e-01,5.099394280183563444e-01,8.160899322234170805e-01,8.160830722344769583e-01,7.178608228989671325e-01,6.867086300698433954e-01,8.160831411016638004e-01,8.160842158284570269e-01,8.160831625317955806e-01,7.128493240464038871e-01,8.160831796736512933e-01,8.160831874804450603e-01,8.160831941948372137e-01,8.160852118504754449e-01,8.160840896259238253e-01,8.159710464760726589e-01,7.304664930926472177e-01
7.463222825005286776e-01,8.160829723560401039e-01,6.978524508834691442e-01,8.160830694161914645e-01,8.159794290797410810e-01,8.160830722338869858e-01,8.160842524021539868e-01,8.160883968182336412e-01,7.146894255994646894e-01,8.160831432350230674e-01,8.160930971490294450e-01,8.160929932790803587e-01,6.910073580414156647e-01,7.100756848361956530e-01,8.160831906531302860e-01,8.160877675155611133e-01,8.031558740602268154e-01,6.548684163459548291e-01,8.160884247520614476e-01,8.160832188333863035e-01
6.401411484128262108e-01,8.160830657373677743e-01,8.160833842632037038e-01,6.925754230222296304e-01,7.124119712403177429e-01,8.160830971823239688e-01,8.160930478523074072e-01,8.160889720483768262e-01,7.189702627956170433e-01,8.002230099160696497e-01,8.160872730497656935e-01,8.160831735566279610e-01,8.160831808398724130e-01,8.160832121398116090e-01,8.160895783740873544e-01,8.160831995014147244e-01,8.038942598139412476e-01,8.156081439350012507e-01,6.579707623124896321e-01,8.160832225964191888e-01
8.160835428963080229e-01,8.139386511503998722e-01,7.947791252433680231e-01,8.160830948860438028e-01,8.160831043412308805e-01,8.160831644723099965e-01,8.160831289191374793e-01,7.123258758443535843e-01,8.160831543996238668e-01,8.160831925092791872e-01,8.160831707071579677e-01,7.210267624326774927e-01,8.160831911814325768e-01,8.160951360895978279e-01,8.134814403259419402e-01,8.160940196605610542e-01,6.895839332745581363e-01,8.160854579654472918e-01,8.160832142459234495e-01,8.120810788551493520e-01
6.750077666916161068e-01,8.160812593710454754e-01,7.255599950512517937e-01,8.160831131776198344e-01,7.921219240739081346e-01,8.160831333290093914e-01,8.160904621866922337e-01,8.160831564600254939e-01,7.170239375926789061e-01,5.258917675031705707e-01,7.132082418943144209e-01,8.160831839557012302e-01,6.521429005505742227e-01,8.160831956075584870e-01,6.237950814976088720e-01,6.655501814707636132e-01,6.026336134513384790e-01,6.900883999885508713e-01,8.160832159931429297e-01,8.034885502819759662e-01
