6.326456338500831000e-01,5.745685252175807278e-01,3.521133024428365066e-01,6.672721901789434584e-01,5.237437677134569869e-01,6.139559696993702742e-01,7.413006783182735093e-01,7.305705205503614241e-01,7.025304083077437145e-01,7.831119564969982738e-01,7.743936677366334287e-01,7.006212756902971961e-01,6.396608971701370772e-01,8.160755079743959861e-01,8.160761425834108795e-01,7.824265060660248183e-01,7.431093942069780800e-01,7.606224685358466964e-01,8.160793802998925761e-01,7.831111494758999925e-01,7.798666098206309405e-01,7.714479680194177291e-01,7.890019355813140400e-01,7.747008615475219351e-01,7.353147550891215856e-01,7.310738280480328921e-01,7.813705445998623267e-01,8.160824909038676411e-01,8.076560709476718891e-01,8.159993635746093377e-01
6.343683082035749266e-01,4.880944198080502394e-01,5.634742624243305187e-01,5.968212187148507208e-01,6.519093100693070797e-01,5.536545029499908566e-01,7.423785338447789206e-01,6.887651232620600750e-01,7.846904222697798081e-01,7.849579309377507919e-01,7.405732598266268063e-01,8.013047263143988630e-01,7.201341219412218386e-01,7.736224231508895821e-01,7.600634329124306143e-01,7.239134745192059572e-01,7.712110886463602322e-01,8.160785373528501863e-01,7.909069088122168134e-01,7.456202003639852416e-01,8.160842875397106289e-01,6.936001781937380928e-01,7.619411239892368570e-01,7.227286769732956806e-01,8.160807582587648046e-01,7.466532432362467109e-01,7.184350155114607173e-01,8.139217410719454815e-01,8.127637815569006552e-01,8.160828032408159460e-01
3.826629178912904217e-01,6.001531152088589449e-01,5.862159424210429126e-01,4.711608620873760089e-01,6.130305782334083409e-01,5.554773434001343269e-01,7.798526035370175746e-01,7.763356285523497213e-01,8.160644351303946165e-01,8.083597274069111993e-01,8.052015402325525262e-01,7.622166606093354613e-01,6.024446559440455040e-01,7.139428539702182830e-01,7.146167807884175049e-01,7.466251170455032726e-01,6.472301558792874498e-01,8.160784713381120659e-01,6.806534849764235284e-01,7.831462778969390248e-01,7.222317401908280310e-01,8.159898807452866665e-01,8.133027281141044229e-01,8.160810973683821912e-01,7.935152455275371608e-01,7.322762821930290933e-01,7.440145105580826534e-01,7.264230494564020146e-01,8.160825298127858396e-01,8.160817699052835827e-01
7.237710361533317149e-01,4.976518266910117116e-01,4.300109283805004790e-01,6.981443610460309479e-01,7.346000260566472040e-01,8.160489058494740933e-01,4.866960125460176312e-01,7.057890727817165422e-01,8.160659818243209962e-01,7.808161406041307373e-01,7.314388758895133957e-01,7.417401649947533704e-01,8.121317957651916775e-01,7.077746821982399128e-01,7.794769176668400190e-01,8.160206283712823083e-01,7.710743686021382937e-01,7.764461375936845267e-01,8.160820575537126587e-01,7.771501384128114420e-01,6.679746353864750574e-01,7.438032400787808474e-01,7.838044225680816934e-01,7.790295962807834984e-01,7.566139023142379738e-01,7.801068205340825346e-01,7.825374106263259799e-01,8.147045998783176701e-01,7.739495314985608276e-01,7.728378232782233681e-01
6.440292848651955060e-01,6.065821244885566399e-01,6.570129387951869626e-01,5.755435129574556496e-01,6.198595558043561438e-01,7.347807721095531708e-01,6.539294091013641008e-01,6.640042990929265754e-01,6.894676696615014144e-01,7.092598070537415866e-01,7.353852712292445748e-01,8.160669869718027991e-01,7.640720330195359677e-01,8.160771745092262330e-01,7.155058338614516122e-01,6.916924485407622836e-01,7.245628233986062261e-01,7.517703505973291067e-01,7.748307950663261279e-01,7.623751435497057027e-01,7.340892478065154103e-01,7.136888545507168446e-01,7.590421265915805460e-01,7.571997105020794594e-01,7.728692896761992781e-01,7.241260069345335504e-01,7.775327353520182783e-01,7.855775527294505123e-01,6.489114334747968504e-01,7.467731717770966782e-01
5.480438114302087493e-01,6.585251663018077961e-01,7.711929385430972284e-01,7.204529870059925845e-01,6.788421791177193798e-01,7.371020103845887794e-01,7.696887561192050642e-01,6.784276473682341324e-01,7.486767168819532525e-01,7.766152377936003104e-01,8.156478385747648607e-01,8.114738272652010087e-01,8.155270486287434784e-01,7.574889345884321390e-01,7.381927016303552191e-01,7.494852898520072415e-01,7.739725010417898288e-01,7.444987792869456333e-01,7.790124907899613760e-01,6.889940813378193640e-01,7.755816222613501898e-01,7.771585111679264468e-01,7.805624355186139285e-01,8.160834691317105927e-01,7.509130533712295996e-01,7.487333680971857142e-01,7.320798916862183425e-01,8.116789522945789814e-01,7.477661297941845531e-01,7.526179893892767092e-01
6.194198905103521779e-01,6.557629809951163180e-01,7.137640431215762638e-01,6.062879491302244350e-01,6.911869665980344690e-01,7.067176171095809201e-01,6.859415436865859972e-01,7.776022237246124069e-01,7.552076704620239722e-01,7.568382347767189655e-01,7.061767726081893404e-01,7.781366176643094157e-01,8.160761045567640481e-01,6.862215045760059473e-01,8.160778682801873574e-01,8.152382996599507603e-01,8.160784993098799678e-01,7.736614464416669001e-01,7.775438205836152639e-01,8.160748592931348355e-01,7.594989051526235269e-01,8.155370738778425777e-01,7.537336963719312166e-01,7.454881431052196028e-01,7.745630548570406892e-01,7.817516400577020352e-01,7.765926386919895785e-01,7.347537024378952841e-01,7.506558280258648352e-01,7.440930933764331456e-01
7.294646670796324228e-01,7.057410390417981905e-01,6.936225138097461551e-01,7.487511822713995846e-01,7.782815276641701363e-01,7.459028667435111393e-01,6.777413783425533245e-01,8.160701020295759722e-01,7.038191550025356680e-01,7.022576994584687204e-01,7.343497266262042356e-01,8.160787300734776428e-01,7.316383925961639223e-01,7.911848811571425832e-01,7.624699907497660689e-01,7.203369601746005824e-01,7.118868187210610765e-01,7.766924303039571820e-01,7.802373271844083025e-01,8.160809501356648399e-01,7.779165970176689093e-01,6.743823308156458030e-01,8.160814271096508143e-01,8.160205492199682498e-01,7.721610755733636644e-01,8.160874741896115836e-01,7.769125729993037188e-01,6.605858129846348126e-01,7.635565966604133115e-01,7.774342685444142198e-01
7.009258811497764974e-01,7.039946886756115463e-01,7.434649818539059707e-01,7.444616120274009097e-01,7.408791488237411738e-01,7.771824743744979447e-01,7.471617665622498627e-01,7.326803634514325037e-01,8.160737938506010813e-01,8.159240384258644729e-01,7.731924061361648004e-01,8.130698998864320792e-01,7.390154986087094091e-01,6.369243253534347948e-01,7.815979834791123571e-01,8.160806970791021353e-01,7.687182506751158995e-01,6.868363584669473498e-01,7.877863366826839409e-01,7.783964626083632599e-01,7.571008313788609723e-01,7.733996890353834752e-01,8.153148869627699913e-01,7.086670814690564368e-01,8.151261186981785256e-01,7.213561297951955886e-01,7.757796975875648204e-01,8.160817108008309173e-01,7.835766756871512806e-01,7.760842181353323488e-01
7.789450180178747463e-01,7.620470154326139944e-01,6.807510749875533840e-01,7.801923737856193419e-01,7.732126091419521119e-01,7.471740201055927511e-01,6.691909281633556805e-01,7.522781037096125667e-01,7.797019339504612789e-01,7.815431055988347753e-01,7.825587702787153432e-01,7.572348145127558716e-01,7.555398341807465501e-01,7.275224158937458885e-01,7.708343680813705134e-01,8.160788030631948020e-01,7.316533794708763860e-01,8.160794908788445712e-01,7.819248256531531327e-01,7.753985797748230713e-01,7.779898301454674092e-01,8.160809776164785756e-01,7.613504527457997106e-01,8.158624182811580194e-01,7.910965185572308433e-01,7.760484718767853840e-01,8.160852068842916474e-01,7.662242148010778298e-01,7.294116633231173541e-01,6.189720320022059630e-01
