2.966154590524599510e-01,1.793078893917889605e-01,4.432685787505645791e-01,6.834365223868772432e-01,2.214441509963962496e-01,4.049224117399663481e-01,6.067394733170383692e-01,-2.930965842341275857e-02,3.801454597014155556e-01,2.967130198286890841e-01,5.660863228877757169e-01,4.676056571196126055e-01,6.844645460667636572e-01,4.892426856671928670e-01,6.831815903350382246e-01,4.083482390515287830e-01,5.581315538757630756e-01,7.443711297014231620e-01,5.604065436846747961e-01,6.080094605573157507e-01,6.327224139110271262e-01,6.578650524067891636e-01,6.911184626518668273e-01,5.692008376313488771e-01,6.228924541637397283e-01,7.403116009527984653e-01,8.150648937848294917e-01,6.552913045603901976e-01,5.967080354814058296e-01,6.562283532531859587e-01,8.063852441032747231e-01,6.414295181527323031e-01,6.300944278340254723e-01,8.196415451899974336e-01,6.602726830061865781e-01,8.083253765690034953e-01,7.765896396365677967e-01,7.336490280864055302e-01,8.074381197747028116e-01,7.918748881796993100e-01,8.147024942900266131e-01,8.141216144926756160e-01,7.471883334184811210e-01,6.907576427376610484e-01,8.148064298306626485e-01,7.882337814871931414e-01,6.498132752452357996e-01,7.809259606007881160e-01,7.403360085077442809e-01,7.687936762141014402e-01,7.563660109923855401e-01,6.415978606186389932e-01,7.505983003476599524e-01,7.755555793807877851e-01,7.742384596119580298e-01,7.847693586113192454e-01,6.044100180999630867e-01,7.376694714532310293e-01,7.581627962162608148e-01,6.010770334795964009e-01,7.502544514427011979e-01,7.270369298796283131e-01,7.957031596167692955e-01,7.814110967927105911e-01,7.517324713115065560e-01,7.117775076184345018e-01,7.735772525699405877e-01,8.196171764441199104e-01,7.624432218913291814e-01,7.744195048681430382e-01
2.332230178386925368e-01,2.156774151440561116e-01,5.085386109947876987e-01,3.124864689019288266e-01,6.966852400680337842e-01,4.828959780950095038e-01,2.750957388718206498e-01,5.338469594078831815e-01,6.491623733443241395e-01,6.229211588332546068e-01,5.059961382736818392e-01,3.924076567829934969e-01,7.622192069237635481e-01,5.233337147499826925e-01,4.967028335367944525e-01,6.563563292213234757e-01,5.181924460728631887e-01,6.526444372685102913e-01,4.617339500059737256e-01,5.740735147605077193e-01,7.063084963960869489e-01,6.497816523139712253e-01,5.308037583919291702e-01,5.858655365635409007e-01,6.980666204063996627e-01,6.853816598153048556e-01,8.176098299369904954e-01,7.731147417289784274e-01,6.405037966576796471e-01,7.366952428474117243e-01,8.180713188828085958e-01,7.341233085414775594e-01,7.297869910445199393e-01,7.397933883399165911e-01,6.542780995630509411e-01,7.404113044957043588e-01,7.947956328233929391e-01,7.355642661990587916e-01,8.120838462000451452e-01,7.558896198371362063e-01,7.246989007927603366e-01,6.198676699981433558e-01,7.594866271440540162e-01,7.256673384806664462e-01,7.578597307809366024e-01,8.102689966384291065e-01,7.686323662786835875e-01,8.176511433692729147e-01,8.159033389382136514e-01,6.976550788613071763e-01,7.643215730858211598e-01,6.730162635810459371e-01,7.750126970086785860e-01,8.173111910762728138e-01,7.429425546315920892e-01,7.176898622351876034e-01,7.725878233134334527e-01,7.756537097222143684e-01,8.122666976075731959e-01,7.662443169198801529e-01,7.121909752388452253e-01,7.409558757979594068e-01,7.718090559353839586e-01,7.812244278125874963e-01,7.659783312750720885e-01,7.402403489101104794e-01,7.259943914830596645e-01,7.203552762748675065e-01,7.739730298214536619e-01,7.323713951595299809e-01
5.193130846336475592e-01,4.044335398140538329e-01,3.752347603233691653e-01,1.889542100153822624e-01,2.992640037653130913e-01,4.533261702222939338e-01,6.119048245696525612e-01,4.991688005571886522e-01,3.941134050357755769e-01,3.670347940938872289e-01,5.747498653873340801e-01,4.709013809393298167e-01,3.910197244215480317e-01,4.926897939189599507e-01,7.225982148732283949e-01,5.363755156866325535e-01,5.258793736840978728e-01,4.680278345861328959e-01,5.093314545212654920e-01,4.851226789895429214e-01,6.306135641973352746e-01,6.978897723494050798e-01,7.607927107011639434e-01,6.837407734799756387e-01,7.016585401633483876e-01,7.330798940769356342e-01,6.520819654569541823e-01,6.530626133202779293e-01,7.236393613936187297e-01,7.691117959091346989e-01,7.793672165124279072e-01,7.506596633869483393e-01,7.620695253899255617e-01,7.991074293225327585e-01,7.358188483717090778e-01,6.486374889378193620e-01,6.649691989902994926e-01,7.254030207819970322e-01,7.883992241348305452e-01,8.044689897535908241e-01,7.826115726296637432e-01,7.651126066540290260e-01,7.220595769846320788e-01,7.643908209644360019e-01,7.158038015189506220e-01,7.272608172318418829e-01,8.074938523091800269e-01,8.037132941817566323e-01,8.067426351205051471e-01,8.007185185427742047e-01,7.624631368320418101e-01,7.740127835549508450e-01,6.028691403222695699e-01,7.941997130911246927e-01,8.183236581515435093e-01,7.846382985634688945e-01,7.881081859298521008e-01,7.685198127854241390e-01,7.600893111787131451e-01,7.750473000532569490e-01,7.680749302609781726e-01,8.093924473033133893e-01,7.484784780980218155e-01,7.742995502783622808e-01,7.787352657142386780e-01,8.100465301620236591e-01,6.416889980540766425e-01,7.355171831548256156e-01,8.154953041935711910e-01,7.448708797577229257e-01
5.587483944969223737e-01,4.504977253260975534e-01,4.338786179351606931e-01,1.706259339225643101e-01,3.188928409985511414e-01,6.876462645141782071e-01,5.473712309933798092e-01,3.517400020467567057e-01,7.151582895000031526e-01,2.625120772628027899e-01,3.811391376843351608e-01,5.076638479943446081e-01,4.819507438033774904e-01,3.520407829745509365e-01,5.648399521008583557e-01,6.416430896487439473e-01,6.636782153594411593e-01,5.658155349240815424e-01,6.097579275225843976e-01,5.205497791323472345e-01,5.981247298948335622e-01,5.845353091770359999e-01,6.555571546429673768e-01,6.407811013371874642e-01,6.798651114043477994e-01,7.070172839613727556e-01,7.753011131046473325e-01,6.878108158851191645e-01,8.061344054324519615e-01,6.792378587002150248e-01,6.794358269553132379e-01,6.705806997009264858e-01,7.529032294044237794e-01,6.221816871850208708e-01,7.641834546097897585e-01,7.562264527640787382e-01,7.802547924776338517e-01,7.952185871367620784e-01,7.614792319602738946e-01,6.875551199054937834e-01,7.447734321711915184e-01,8.153139866776609734e-01,8.000020492220993873e-01,7.099463333580621205e-01,7.829946481865981411e-01,7.735367582610586101e-01,8.177663853515790837e-01,7.236326492447211489e-01,8.076109743095705173e-01,7.533744101440853491e-01,6.483800439755701417e-01,7.687929937734447883e-01,7.827313208563205782e-01,6.947994652745569377e-01,7.669432772414652710e-01,8.038755326435916837e-01,8.077118830935314797e-01,7.754447937966814086e-01,7.465176643917940114e-01,7.359783201426064458e-01,8.089906654039348277e-01,6.276058437105428434e-01,7.527548465459084071e-01,7.789365572214534961e-01,8.135902674297254000e-01,7.701521045936081666e-01,8.170965707956872048e-01,7.837278719552466244e-01,8.025172545762850884e-01,7.297544554362668245e-01
3.220439328357598274e-01,2.745833216787226250e-01,4.986060649501488085e-01,3.055695914303894756e-01,3.483141713968775921e-01,3.827707831101568314e-01,4.511865156575798341e-01,4.077700759380805118e-01,4.179066986542532280e-01,3.966460581757750292e-01,4.720526926306357063e-01,4.822274330555657018e-01,5.454002250627519865e-01,5.531596026152664214e-01,5.654570999672571263e-01,5.414692126507999470e-01,5.482491028455385162e-01,4.522840794267215525e-01,7.783974861255574806e-01,4.841024758457773691e-01,5.655224070646250878e-01,6.959982144009894123e-01,5.377885183913410083e-01,7.515050276070618374e-01,5.315831271245429201e-01,6.510389901945202729e-01,6.682498171719688518e-01,7.885829037702422051e-01,7.022504393302120285e-01,8.142624089519437947e-01,6.704994729837928658e-01,7.394978940595172689e-01,6.935110757344734589e-01,7.766619082975098065e-01,6.816744186103794734e-01,7.639687329569699870e-01,7.425062989399922042e-01,6.650164410711787433e-01,6.992190970664375893e-01,6.995116235074140265e-01,7.385797153949263949e-01,7.641294942514968991e-01,7.278926096398097290e-01,6.828067935297551516e-01,7.736729998143803133e-01,6.696089107477872782e-01,7.349884268880279015e-01,7.453971441637096129e-01,7.752206388552751459e-01,6.752043481958686089e-01,8.048851544972238647e-01,7.388122185617500559e-01,7.689539570175483174e-01,6.980801289627059925e-01,7.640786316758539920e-01,8.102337185613236459e-01,6.489192983628141453e-01,7.640537891477646726e-01,7.232928247711322145e-01,7.387773972175223358e-01,6.887848954437554294e-01,7.366769583377990038e-01,8.146984353734713080e-01,7.784272401991522150e-01,7.029774472009939768e-01,6.907881612533609550e-01,7.437080728882961012e-01,7.798402398941528535e-01,8.108513404366293198e-01,8.064043664567154268e-01
5.084026735597430013e-01,5.333766299493991614e-01,4.291387998535984294e-01,4.108089276369019105e-01,4.393653057641068727e-01,4.152626611488163255e-01,3.373092965826486878e-01,3.382981925906973220e-01,5.728586353004553322e-01,5.109136195707270067e-01,7.287705830007911167e-01,5.433152503769689279e-01,6.659905117765787530e-01,5.042031211600255247e-01,5.779552280356354821e-01,6.341906090200293278e-01,6.217215039594716774e-01,4.633041028625019542e-01,5.142113188874681828e-01,6.835638299255010208e-01,6.090787142920791597e-01,7.103614711728366560e-01,7.073875812134375884e-01,6.458120234360589240e-01,6.616754715882925408e-01,7.195064299422896381e-01,7.976938270304277934e-01,6.997432320314422860e-01,6.904579668225384603e-01,8.012421182909942319e-01,6.657671115056086331e-01,7.158823110537458900e-01,7.529465771274818087e-01,7.433599404315448522e-01,6.494642590587739184e-01,7.055645562907925106e-01,5.902215403982065123e-01,6.683199470586149715e-01,7.303822191383548823e-01,7.736611160650350705e-01,7.488584668232021180e-01,7.777069324737515554e-01,7.018405901410308401e-01,6.894492401978714602e-01,6.754274218594732426e-01,7.972842416380320207e-01,7.337632577741094453e-01,6.047846179754191587e-01,8.012586249696160845e-01,6.934129468948504460e-01,8.073901374258379837e-01,7.780058383082939510e-01,7.242690078210700655e-01,7.707699936578628064e-01,8.007617937299762456e-01,7.207771136720910743e-01,7.327003804083364047e-01,7.746636647417377564e-01,5.888913535234647778e-01,7.220784383124002614e-01,7.589285093341381350e-01,7.829754407181531706e-01,7.691872633593830333e-01,7.265422291879077843e-01,7.771756497901531890e-01,8.114061947176957057e-01,7.442994587943041473e-01,8.002535972658125774e-01,7.043757290292962381e-01,8.050720607347034985e-01
5.716607510830730154e-01,6.150919845520665952e-01,5.319237655889809124e-01,5.370356960917279654e-01,3.805382006245971449e-01,5.326458130318456607e-01,2.683169924742483392e-01,4.511592245121399669e-01,5.151609314857464872e-01,3.142279083239968851e-01,6.311148444137327784e-01,7.495690498008152902e-01,4.747739150221464977e-01,6.457331080282388003e-01,7.241198065884956181e-01,5.517648586973074032e-01,6.123668136372298898e-01,4.178459542175476660e-01,6.076202150579228523e-01,5.852787836490607187e-01,5.731717906567649345e-01,6.693991792407867347e-01,6.972262532934394574e-01,6.649398515889058947e-01,6.475723654546761132e-01,6.119192308439694861e-01,6.468984878321039078e-01,7.494424062885315374e-01,6.119353521141385199e-01,6.923680646151779694e-01,8.109179930193720631e-01,7.466639331829334481e-01,6.423206991780013864e-01,6.796863293911601378e-01,5.861568915444752559e-01,7.379269912060474335e-01,7.152418717914824642e-01,7.930805186016647301e-01,6.584209818967304839e-01,7.940190556640835950e-01,8.083977308672343209e-01,7.021759756823106047e-01,7.239861496028866528e-01,7.481231716091371053e-01,7.561542742210460855e-01,7.409339592403199060e-01,7.753747614760606588e-01,7.241194672083259842e-01,7.723231693653984653e-01,7.160795427769973687e-01,7.979239277625345128e-01,7.938926596481347131e-01,8.086600694432870551e-01,7.234799153169484409e-01,7.933804706309925958e-01,7.847771775124671167e-01,7.811037988640301410e-01,7.827405595454561826e-01,7.688806155412867271e-01,7.897458882624260879e-01,8.154188971137272812e-01,7.198058609788344775e-01,7.339258968550542717e-01,7.977997602730209081e-01,7.238741764872432816e-01,7.761334230711534055e-01,8.042050923881941538e-01,7.814777093492667470e-01,7.059372124241090063e-01,7.389107895189687136e-01
6.003155994133475559e-01,4.750290091502938350e-01,5.120412608503192020e-01,5.130943698046128709e-01,5.225856362739004224e-01,5.374813897945920349e-01,5.409507370573218843e-01,3.215076026314612756e-01,3.867197968352336646e-01,5.467303778019630967e-01,5.194531730831438709e-01,7.471986125914857890e-01,4.828216238562885176e-01,5.677072369952738118e-01,5.798921739197892000e-01,5.622390445868635789e-01,5.318252737281656817e-01,6.820077755602942382e-01,6.521355548113647593e-01,5.310646405997231367e-01,6.148303592297712505e-01,7.065122186778298730e-01,6.195730321888829328e-01,5.956678187556646575e-01,7.746698465966594949e-01,6.833657538602549986e-01,6.711340277768182982e-01,7.128163801441000924e-01,6.131358486649548523e-01,6.546462880503944870e-01,7.305285984973785007e-01,6.883182179209501594e-01,7.173224960317325927e-01,7.369816667975765956e-01,7.458405133215639804e-01,6.636589052922254872e-01,7.658665414956302708e-01,7.506676314999193300e-01,6.897102180420632278e-01,6.969539066240427738e-01,7.704209806009155725e-01,7.810007077885006144e-01,7.146833997275827688e-01,8.253038497490885472e-01,6.930555490510172945e-01,6.401961439937462472e-01,7.603561080358413049e-01,8.277640623338231585e-01,7.611613252221900439e-01,7.583853692798939727e-01,7.411303297712682481e-01,7.383336292429869552e-01,6.917300353840641902e-01,7.807889575688116146e-01,7.786255605489921239e-01,5.781750798056312091e-01,7.414395334585801578e-01,7.205753153932410449e-01,7.666917543502204113e-01,7.344268896537098357e-01,7.429107940239535468e-01,7.759368668202853980e-01,7.246633020736639175e-01,6.870977741516891557e-01,7.968725951309060251e-01,7.176940294312840196e-01,7.474392264162518229e-01,7.190986588913266253e-01,7.487818620160063832e-01,8.304659861683408861e-01
5.444753786741035606e-01,5.560805480886291674e-01,4.804814474502008825e-01,3.682850448793433262e-01,4.958676396126652230e-01,4.229569949320298172e-01,5.408003550439566265e-01,6.087012618031947264e-01,4.696782387900157452e-01,4.523231249345789351e-01,2.865392521985848928e-01,4.220862448206917916e-01,8.278977457145689778e-01,5.832297935714153558e-01,4.248306891001772945e-01,5.086069053835463594e-01,5.635765941842425519e-01,5.778331170098606195e-01,6.503460928648838735e-01,6.346901114626491980e-01,6.904834501278676040e-01,6.665782618838776985e-01,6.386758894753837845e-01,6.006519449385623322e-01,6.698336189510961658e-01,6.543633677781108826e-01,7.149874253396949486e-01,7.642757492202043590e-01,5.840435446868708080e-01,6.447591297155472745e-01,7.547898469590034187e-01,7.229715561230345422e-01,7.031810606180617373e-01,7.675843822975214614e-01,7.947133085723269152e-01,7.023782620706733315e-01,7.708993008779126965e-01,7.296771483337067821e-01,6.812183339247277480e-01,5.969448535971413339e-01,7.633835414834690969e-01,7.075386852281013716e-01,8.013000220274919538e-01,7.704314613970453252e-01,7.500470020208196420e-01,6.859389946518489323e-01,7.363653286623659255e-01,6.066377421145018323e-01,7.736174948441953969e-01,6.819659695725889259e-01,7.896428197526043080e-01,7.598117007486763219e-01,7.668115163915711907e-01,7.218091848909522490e-01,7.656063230802850894e-01,7.652893017297499600e-01,8.239672729955188624e-01,7.746798070865890118e-01,7.013766591949636142e-01,7.707053922301875248e-01,6.798735860828427624e-01,7.289177859742869137e-01,7.901580730496682303e-01,7.295730386027817760e-01,8.082402273412099269e-01,7.362299202671587217e-01,7.221380213262786896e-01,7.386373434162410989e-01,7.636262665017305995e-01,6.807069288909867177e-01
4.534951960972792850e-01,3.803364794963671747e-01,6.083784466678844316e-01,3.452344377278356857e-01,4.903732382000223211e-01,3.536157431069797963e-01,5.531065516768979284e-01,4.679040227476059521e-01,5.452666781059131162e-01,6.071115468413018634e-01,4.053827754435943009e-01,7.078349980808553710e-01,4.733871555480126392e-01,3.655747584926167804e-01,5.811585341288442175e-01,6.382592205449308942e-01,8.325284745944432352e-01,5.693538312194051931e-01,6.186824992730957096e-01,6.208520998791082768e-01,5.451401933268142930e-01,6.180883761771814866e-01,5.745832236896361023e-01,7.018696626593500243e-01,7.388984103188490637e-01,5.460885865647723270e-01,6.573540914283575454e-01,6.756750276994425430e-01,7.974832112973117004e-01,6.293947811938070958e-01,7.073321553781215520e-01,6.979762067812768089e-01,7.154317604612639991e-01,6.668643193811775172e-01,7.325627851661220546e-01,7.430048565799072247e-01,6.377004675890084462e-01,6.505612266962912393e-01,7.512725172815830632e-01,7.442353205445952913e-01,7.365536251496657139e-01,7.598797430464704350e-01,7.838541697032348488e-01,6.688943222139057676e-01,7.127012927271316745e-01,7.100880147694949018e-01,6.997298502202463633e-01,6.499103224710881532e-01,6.485929163160446542e-01,6.523199581318943618e-01,7.295558662808427908e-01,7.483607175893799424e-01,7.546965830251544105e-01,7.413741597189659194e-01,6.161063693543321618e-01,7.302401151891794173e-01,7.137834401046931898e-01,7.018621628718823002e-01,7.211396856532628075e-01,7.594725043304065837e-01,8.050209941032151484e-01,7.082473911292136437e-01,7.302064722967892552e-01,7.234265585846274549e-01,8.018388646328329372e-01,7.813250186575245726e-01,7.247063559662710874e-01,7.256544689446436935e-01,7.294705299658917896e-01,6.862975342182908722e-01
