7.209394139381701816e-01,6.586303461581102248e-01,7.818024587936336367e-01,6.562515205241611360e-01,6.023720179132059371e-01,6.418766667328099640e-01,7.631956258257888148e-01,6.015943481666241599e-01,6.832482823400810590e-01,6.905457144332219910e-01,5.867427658820673075e-01,6.920407158101140599e-01,5.961288401445652418e-01,6.665463031354253998e-01,7.463230168083173632e-01,7.187525531844252136e-01,6.571229073119637665e-01,7.190425871816459313e-01,7.937375435856032224e-01,5.410393520616143537e-01,5.859746296332968285e-01,6.557048109879295428e-01,7.126944085593148737e-01,7.036769512325921072e-01,7.384385802622365214e-01
5.990919048667532332e-01,7.069809088126638441e-01,7.101812346789134756e-01,6.247810532125804839e-01,7.142039868152071369e-01,6.422607156644931647e-01,7.270889355602598858e-01,6.225436728285471677e-01,6.951178829623090305e-01,7.705803989787545216e-01,7.448046343942886782e-01,8.956799039606760937e-01,6.685638614587938733e-01,7.901042545896020952e-01,7.984531056186753295e-01,6.284632020322489243e-01,6.786623241982051580e-01,7.874577508798787928e-01,6.240306906539816456e-01,7.134907301050353867e-01,6.995261682217861487e-01,7.296059104800831641e-01,7.344548232754624095e-01,7.145364084516443448e-01,6.964138546405305163e-01
5.975439871673799974e-01,7.347178655505276490e-01,7.687198188397127430e-01,7.552924769175072273e-01,7.401921375048418072e-01,5.730032546160271911e-01,7.573916926642340064e-01,6.448730258093369194e-01,4.735849151270001833e-01,6.569927008937397339e-01,8.681049149606454574e-01,7.909912605680115005e-01,5.978644312774779035e-01,5.582540408290509459e-01,8.298964521592884225e-01,8.288977277416013090e-01,7.393664753493640607e-01,7.523696641054021805e-01,6.459838382992325601e-01,7.633745559691675897e-01,5.783652275212407545e-01,6.286133786060992268e-01,6.163161110776467222e-01,7.555157781009035345e-01,7.657027312561474064e-01
5.973153391808955215e-01,6.652855590983379752e-01,6.874755765011961728e-01,7.291666798586213805e-01,8.027122323959676731e-01,7.915892600673286594e-01,6.407700485618164077e-01,6.936297565538032117e-01,8.044566444087818402e-01,8.899142406735786048e-01,7.915131647111832702e-01,6.985037052340509200e-01,6.635117494192191989e-01,6.557427539195748167e-01,7.982977517873675044e-01,7.725863834890641657e-01,7.176681351612536064e-01,7.661802763183770404e-01,6.842524319324633231e-01,6.877506147361468480e-01,5.841882532308119158e-01,7.623835469255089148e-01,8.365847266389533354e-01,5.556950112476194414e-01,6.740158216985314699e-01
6.346955681667809657e-01,7.311159974669387829e-01,6.913291425636673981e-01,6.996047656797069747e-01,7.495892923621736426e-01,4.866014287750523581e-01,5.385098506474050861e-01,7.496339380712997436e-01,8.263308853656251562e-01,8.118720755353402430e-01,8.508460249018805488e-01,6.891124688623134764e-01,6.998414408672013476e-01,7.045024939109242323e-01,7.106818006756574491e-01,9.195907390898527822e-01,8.000639582731231547e-01,7.642455715531925042e-01,8.228121584010208434e-01,7.199485733221079320e-01,7.218877075286213030e-01,8.608793206711503609e-01,6.883029409757146500e-01,5.287480173088516811e-01,6.391514865021471481e-01
6.896858067540668769e-01,7.463039521791470232e-01,6.523772160891929683e-01,7.540087246619499028e-01,6.713862651327424658e-01,6.865452795253881302e-01,7.735857466702976692e-01,9.016097962125618759e-01,8.276328921827650342e-01,8.872531599478401532e-01,7.721011851758525779e-01,6.301831541357130195e-01,6.896237435332562837e-01,7.583923738849961405e-01,7.638799182563765777e-01,8.038566819964199084e-01,8.484360350840235432e-01,8.240160181802276274e-01,7.044814037974995724e-01,6.591535693077339442e-01,6.094471317500954610e-01,7.380886659804404282e-01,5.844547228701449937e-01,5.655022785013181785e-01,6.375135064487039704e-01
7.958361161363953773e-01,6.866374075158300228e-01,6.910002626622204769e-01,6.187106918509555076e-01,7.887363598995159597e-01,7.008505166424475741e-01,8.849856395951732901e-01,9.072309764212075356e-01,9.212887478438386291e-01,6.306634688543203415e-01,7.722455449957728035e-01,6.766337859843690739e-01,7.095594884288378701e-01,8.183455429283702509e-01,7.599931636105862198e-01,7.542976043625733151e-01,7.883968790463132814e-01,7.965856799664013943e-01,7.488550272147028730e-01,5.624305571845658047e-01,8.229850597660062217e-01,6.971855091808576432e-01,6.858946934241502147e-01,7.384816972443568606e-01,6.394259968399798044e-01
6.667956101171924610e-01,8.306078720855598618e-01,8.021500673548883631e-01,6.270186938918748121e-01,7.215464181410645716e-01,6.366339800321845210e-01,8.590211633146607184e-01,8.611879094006884561e-01,8.492595252886261381e-01,7.630326832596231457e-01,6.799267727540343476e-01,6.559106296435345262e-01,7.612078994921011033e-01,7.628534480181914379e-01,6.516054536277283704e-01,7.129251645587072472e-01,7.699954834342447318e-01,8.380257456996552667e-01,7.642776983346603048e-01,8.826421559976027620e-01,6.361105986331673234e-01,7.111308868684138584e-01,6.393761791395444760e-01,7.681275049332845217e-01,6.471558661167279292e-01
5.947300679203201268e-01,7.731140771218738550e-01,7.457716148495487918e-01,7.900680345746383670e-01,6.798279756044276478e-01,8.725724960749861037e-01,8.379977656803315744e-01,7.955933884733517036e-01,8.046010932741275434e-01,8.472370736106235034e-01,7.717996653483386593e-01,5.082897990405097488e-01,7.634184029437683927e-01,6.931705799601199924e-01,5.938456457879179862e-01,7.875512025759536794e-01,7.094145953538110172e-01,7.617895658102181722e-01,8.672095612047593383e-01,8.186515819874007338e-01,7.696168413888908599e-01,6.840611947594119613e-01,8.179069052750518320e-01,7.599120424890577485e-01,5.214483310793907034e-01
8.849898128632698313e-01,7.203887878483220542e-01,7.795448896670423844e-01,8.619147316404299763e-01,8.033142938877404493e-01,7.910890190644712661e-01,8.328073959217761058e-01,8.869382680555253362e-01,6.062520555770560815e-01,8.382609001497514090e-01,7.493141232934352747e-01,7.209738165639750784e-01,6.141615455799351864e-01,5.392206436336517417e-01,7.091507564115967499e-01,6.804491332517611513e-01,7.694535148064896024e-01,8.872169848681451532e-01,8.433955748476964498e-01,7.176344116669328699e-01,8.040020386955137877e-01,8.530346688827465940e-01,7.896170189448088461e-01,8.770358483725850807e-01,7.985666150921328921e-01
7.693485570552731634e-01,6.742182026732475020e-01,8.220335033602061969e-01,8.255531117683746478e-01,9.157900993848727689e-01,7.246545274946728510e-01,8.708628443096809724e-01,7.584797325049571493e-01,6.492650196489385683e-01,7.831195584810937138e-01,7.199369104900645855e-01,7.117407767914617489e-01,7.138010849160278948e-01,6.293907699229247532e-01,5.835182697237107918e-01,7.795694941047877080e-01,6.425510605703810274e-01,7.400683909164859076e-01,8.601855169462460093e-01,7.907206545244991336e-01,8.146915292771602646e-01,8.072429854477631839e-01,8.993988557929538663e-01,6.741391863402004248e-01,7.202878369128350444e-01
