7.830957171468380107e-01,7.243093018339921141e-01,6.994718936191242076e-01,7.550643634355328482e-01,5.812123353969026462e-01,7.813036076941919372e-01,6.327737073911319232e-01,7.962854322202834734e-01,6.881864099100211130e-01,6.633445238699360313e-01,7.110788646065706597e-01,6.762936915296233753e-01,7.065066497867631412e-01,7.623516996054731099e-01,7.114939898922473249e-01,6.446957154439989512e-01,7.448583274440189195e-01,7.125557674276502551e-01,6.646826010988482469e-01,6.591244705841168283e-01,6.786382708795395402e-01,6.504609306772966004e-01,7.623390589176513021e-01,6.824753993773418070e-01,6.856207627650884318e-01,5.927272869786787135e-01,7.734110668065885541e-01,6.960739295953809469e-01,7.536027068701726117e-01,7.959115627387743919e-01,7.318868853524276297e-01,7.645063065758262999e-01,6.408400701170267055e-01,6.492236727253908324e-01,7.026578826208795814e-01,6.134853011319473248e-01,7.941890324054546868e-01,6.998662030804934098e-01,6.997180026696806499e-01,7.307006664558032272e-01,6.605333058882996156e-01,4.418135241658673884e-01,6.756289884963774250e-01,7.157900932804215355e-01,6.226651137463456998e-01,6.947464386815600523e-01,7.168643805332991503e-01,5.308803347616947166e-01,6.551372297346180762e-01,7.094461604074717709e-01,6.715686166807770530e-01,6.775933579995206957e-01,7.537724306992481527e-01,7.811326870336987582e-01,7.228660792654778566e-01,6.724904663786843706e-01,7.292512100523468321e-01,7.297603089237006957e-01,7.073431905765715788e-01,7.559233862785368352e-01
7.827950837007071616e-01,6.437306815089179901e-01,6.644563145393811432e-01,6.382955234599270167e-01,6.387107458328602494e-01,5.941631578257779989e-01,8.117104750795990364e-01,8.255975512340075761e-01,6.877302232043923658e-01,7.088646230367544598e-01,7.107261662726946927e-01,6.529421011063687441e-01,6.514643447543665422e-01,7.451973373452240867e-01,6.678437058098090073e-01,7.163569963863694046e-01,6.879802366648337664e-01,8.477609238546511827e-01,8.018958686511366007e-01,5.721571883051275176e-01,7.128152673835528308e-01,6.989121144224166304e-01,7.357068243138334962e-01,6.414823418252422194e-01,7.125825806959462660e-01,7.374977379309901604e-01,6.939284753962856600e-01,6.711485686931073502e-01,8.063273026559233392e-01,7.650296343245815978e-01,7.627619537074342704e-01,7.043541276254099426e-01,7.802527883031389333e-01,6.628831925091527300e-01,5.675480545809914457e-01,6.717296567901538396e-01,6.650764209451647258e-01,7.053273953792110751e-01,6.728281168322280958e-01,7.594427828068593955e-01,6.957562475190574025e-01,7.570543139787127007e-01,6.108149439810108827e-01,6.630234950205228239e-01,6.280958362139111850e-01,7.772313847436855827e-01,7.853332103953609700e-01,7.255630392308617393e-01,6.525352078293705782e-01,7.021921656146050683e-01,7.411278643794169119e-01,6.874079831174549904e-01,7.374057428352177590e-01,7.017614990466360947e-01,6.810804344007522770e-01,6.401969294796729937e-01,5.491246880624995885e-01,6.806617087242299302e-01,5.849756484419286195e-01,6.828364768156203191e-01
6.706245201034504166e-01,7.269082328023277473e-01,6.756968083156261740e-01,5.672067546446887265e-01,6.909477534507335594e-01,6.113664395440260302e-01,6.593563738342492764e-01,7.992631837300800957e-01,7.549588815302239464e-01,6.912572300409270953e-01,7.318452908082520025e-01,7.214777251510836598e-01,7.866572372933801072e-01,7.354761751072592668e-01,5.466611948026426360e-01,6.839519909395421760e-01,7.628212994291161397e-01,8.375895707441154414e-01,7.466434215543806818e-01,7.247288696059577262e-01,7.226120031267275756e-01,7.984921103804802911e-01,7.007794332417704997e-01,6.446286536530017042e-01,7.082528425555431051e-01,6.098507023006994876e-01,6.701532445658896497e-01,7.942820095378775314e-01,4.620616058649469338e-01,6.069774743512883486e-01,7.069281455077076615e-01,6.118310517576646124e-01,6.703150491393067290e-01,7.422638287179315064e-01,5.833418909040549716e-01,7.659048652893675202e-01,6.211373551913905722e-01,7.209210997565397294e-01,6.066096782808533261e-01,6.807760954163513123e-01,7.091678188536173488e-01,6.790622044433554105e-01,6.997686752708056623e-01,7.323942676514452188e-01,7.982815572001167315e-01,7.940732273525311635e-01,7.080507744788627766e-01,6.649693778024385882e-01,5.788056636105869401e-01,6.284354977433447287e-01,6.766004589580119077e-01,6.501507879714649718e-01,6.559329056743733455e-01,6.337262488457119369e-01,7.047191553819118770e-01,6.776573256180429272e-01,5.568587755900097358e-01,6.442792216975059549e-01,7.770242210331217425e-01,7.166486491534915793e-01
6.693091378818614157e-01,6.294098543847604921e-01,5.364637361284965156e-01,6.954034510375092237e-01,7.640061745949987548e-01,6.526483021158719922e-01,5.897038414262750772e-01,5.534680837372255580e-01,7.169654528653213177e-01,6.651763941988716455e-01,6.192625778866592823e-01,7.388472424196677046e-01,7.588144511018229954e-01,7.247702746987073619e-01,7.502718802206451709e-01,7.875855246052233527e-01,6.891126431304650524e-01,6.969857834282712217e-01,6.429188160749949033e-01,6.676192409779752035e-01,7.036587964500289338e-01,6.648605990287197454e-01,6.868153247522896798e-01,6.778589017554080831e-01,6.227203570943775635e-01,6.652454528771545306e-01,6.910806603667014603e-01,7.452192795815838489e-01,5.895073470648405367e-01,7.350862391213481839e-01,6.617256669127009605e-01,6.602683452289391797e-01,6.117577503665336813e-01,6.019635852315152746e-01,7.066643639276534161e-01,6.989168820592308595e-01,7.144380252543136578e-01,6.720831800107831544e-01,6.400977281070321379e-01,7.042447695722160450e-01,6.225294301665501573e-01,7.036286661129221853e-01,6.337292800245800661e-01,7.128245917759088446e-01,7.308651976756568303e-01,7.681745726842755806e-01,6.725937002632766948e-01,6.733827266519524235e-01,7.125343479619158371e-01,7.137298279544078694e-01,7.544424541198635481e-01,5.771106339487541703e-01,6.764046582766786164e-01,6.321120605342915866e-01,6.199301442359219649e-01,8.083448770894167135e-01,6.930885502526298314e-01,7.126463113303374008e-01,7.185788315611253418e-01,7.681203436962354969e-01
7.160515671717296859e-01,6.876271716674439149e-01,8.098530371625493052e-01,7.414207818548897988e-01,6.879772926119411824e-01,7.040364609060187906e-01,8.076266922867894049e-01,6.732046822309577516e-01,6.815546633540708887e-01,6.348554026202917200e-01,5.946440650756942281e-01,7.241373611487397222e-01,6.712325411807044118e-01,6.485004553833562113e-01,7.053698832364270199e-01,6.644766379274332779e-01,7.180501849267755254e-01,7.283460489000385119e-01,7.221464892127290591e-01,7.457822726419097714e-01,7.337786838209419127e-01,6.310108372574563251e-01,5.606470831007229760e-01,7.694034813945855866e-01,7.564287984679468613e-01,7.055813380424638126e-01,6.055226801949971094e-01,7.588410749360595675e-01,7.729562851195078688e-01,7.219916316082317653e-01,6.647489206648746762e-01,7.618811784536537735e-01,7.700837620060617672e-01,6.670049055483534550e-01,7.027437653517484284e-01,7.019597107072735875e-01,6.979332399428960221e-01,7.508259881348675613e-01,7.454360082444602131e-01,7.613515618481149216e-01,6.465688588904382472e-01,8.284490472672949579e-01,7.824138120801312768e-01,6.885210303969671042e-01,6.595208350178394241e-01,6.748385652634933951e-01,6.648313238469621966e-01,7.492019649359072941e-01,7.484718787349449176e-01,6.161399065762814820e-01,7.241381658984832326e-01,6.616336515014900055e-01,8.123318709115228131e-01,7.353946884690940600e-01,6.847402181923248898e-01,7.471174674036802354e-01,5.544363641094974815e-01,6.509776844313966970e-01,6.970469585896222897e-01,6.867594625891827453e-01
6.547274935457748635e-01,6.560608639210301352e-01,6.763705264021183661e-01,7.490009071458147982e-01,7.327484710479543750e-01,6.130791379647645423e-01,6.046099019196289337e-01,7.600230249076240785e-01,6.440629360439336093e-01,7.194099613516617975e-01,6.906595166299591693e-01,7.145793699457858583e-01,6.135454654632048754e-01,7.403330467152499095e-01,6.749393649447117394e-01,6.663396354306028169e-01,6.864401984350178010e-01,6.725584181255336302e-01,7.361023979617332680e-01,6.514772970799082019e-01,7.437131407226684754e-01,7.253715381098843062e-01,6.596977235333209011e-01,6.439954708719028975e-01,7.773028344540671153e-01,6.796418639979059373e-01,6.616008905837257315e-01,6.978843313796303516e-01,7.523446417347228188e-01,6.806407351325294286e-01,7.068993600525749210e-01,5.747870747398906577e-01,8.113664719246707069e-01,7.583597778524374666e-01,7.256221741181704266e-01,6.880695777247369804e-01,7.081196997637821955e-01,6.711361943434110966e-01,7.329061067401726470e-01,7.221723170971212635e-01,7.287829617965237983e-01,7.336720042358921834e-01,7.107006664095829596e-01,6.975946943144518686e-01,7.250552458313517246e-01,6.607451211016353021e-01,6.591616239009795430e-01,4.946464121727571772e-01,6.875222680383548113e-01,5.512121423527266417e-01,7.451006945488516386e-01,7.194206285371931298e-01,6.589485467539483166e-01,7.410123430262116617e-01,8.231044835938611248e-01,6.447293655301404858e-01,5.112529008865477342e-01,7.137663128792997025e-01,8.623102110893258176e-01,6.253742158187074462e-01
7.133470866601462346e-01,6.783146609161014862e-01,6.430945874295491693e-01,8.172739307864761438e-01,6.527453153972759825e-01,6.543525896772636186e-01,6.889664195015151593e-01,7.988359439355215974e-01,6.968409023178467887e-01,6.655025888726191496e-01,7.987255189353354989e-01,6.912836492448890535e-01,6.428644516985697610e-01,6.361754382420947707e-01,7.056719361794563383e-01,6.621675634107234698e-01,6.220988501286754957e-01,6.941697542731979365e-01,7.225706959640584293e-01,7.787203583423500941e-01,7.353167415018302400e-01,8.051373534975739821e-01,6.971255043807038643e-01,6.420084330912735338e-01,7.683215064642843206e-01,6.563801871790452269e-01,7.105750144710551996e-01,7.217734276541737382e-01,7.180733442894766672e-01,7.615053548638207603e-01,7.506252449012417172e-01,6.455469918426898213e-01,7.565839550586052065e-01,7.057006126303237981e-01,7.619243420962613644e-01,6.884324972081785621e-01,6.792640918360423052e-01,6.993269855230301868e-01,6.869174393740667961e-01,7.510349632579560453e-01,6.608587909942496008e-01,7.407487567297647013e-01,6.890562770069831311e-01,5.588775170213208243e-01,6.496288515021272358e-01,7.241640185076063663e-01,6.877444891427539897e-01,7.649529797281491295e-01,7.269228866346576501e-01,6.607206187736257563e-01,5.482218015238491393e-01,7.256829076286631652e-01,6.619909555610349328e-01,7.962987746060352645e-01,7.068945942160025364e-01,7.834529487253598656e-01,7.141512661701019393e-01,7.196219976895625869e-01,7.818023485085023871e-01,6.803504340419501695e-01
7.139444855865587636e-01,7.625551087464556010e-01,5.949224084952444702e-01,7.510775572932982813e-01,7.480024229514590228e-01,7.237291084810567598e-01,6.645054162326546887e-01,7.497692952407393197e-01,7.813819823037441159e-01,7.254057546831716996e-01,7.544687863052634835e-01,7.172383229319685416e-01,7.794020085710163803e-01,7.241981986326464504e-01,6.368923862379565204e-01,7.381977971739039912e-01,6.050468930471527562e-01,6.736181760748545244e-01,5.846132916265353030e-01,6.858493436560935130e-01,6.456974568295539285e-01,7.228340250279569057e-01,6.468334417980503570e-01,6.789304228029436894e-01,6.102250190346966141e-01,6.849899868719229179e-01,6.624395948305774606e-01,7.354868703762660331e-01,7.540605755889318029e-01,7.835331398275025006e-01,7.252545213290825243e-01,5.236396539542982342e-01,6.728434940277867593e-01,5.823538246625391546e-01,6.787225063966453309e-01,6.749628274338318468e-01,6.629310569742210557e-01,6.738801008714337959e-01,6.010106477043908324e-01,7.400783634439422887e-01,6.698161431091806950e-01,6.806688603722179653e-01,7.827944391426928661e-01,6.722673283713516135e-01,5.908598872902761645e-01,7.182039604359222729e-01,7.654951582836736490e-01,6.899496370020539171e-01,7.165663643105976144e-01,6.448781791067574876e-01,6.805482506303757173e-01,6.925830210989359914e-01,6.799908648124464161e-01,7.786329086093402019e-01,6.914473181574158911e-01,7.234224884604404382e-01,6.108815947125763035e-01,6.663023511853578551e-01,6.785143521678054235e-01,6.820027417192899843e-01
6.621435172210247133e-01,7.393173659787792840e-01,7.260953119061054339e-01,6.529018313198020618e-01,6.526956696443038108e-01,7.214233877262916650e-01,7.199149093547647649e-01,7.686927456172846229e-01,6.750664971934228209e-01,7.764909431311053378e-01,6.991580204279793653e-01,6.450027213293492157e-01,7.939141084788741143e-01,6.715543311025907736e-01,6.814082238097781685e-01,7.312328264165193215e-01,6.726490218562846124e-01,7.624041584037901664e-01,7.474257466013927154e-01,7.336423907194367100e-01,7.097235622071875749e-01,7.230089481142891739e-01,6.852120903452607603e-01,6.833150815812941703e-01,7.516269198777145721e-01,6.939018879432249376e-01,6.664835959908423924e-01,7.407551025300521674e-01,5.284578076702093341e-01,6.889286512839805088e-01,6.502012258317778626e-01,5.975316392637985974e-01,6.928781456874540945e-01,6.966588480190435417e-01,7.031503848183480176e-01,5.286739002365775653e-01,5.949057026196202802e-01,7.679734827106149408e-01,6.205389897968227597e-01,6.777329699641188032e-01,5.627514264315187642e-01,6.817680510321521004e-01,7.329413671269379149e-01,7.289333139019236185e-01,7.825352930582744060e-01,7.457187283611241835e-01,6.676279895654735341e-01,7.156884746549764253e-01,6.460966005657456934e-01,6.276734823162194443e-01,6.745344823557285485e-01,6.513904168719965027e-01,6.975588534483613268e-01,7.391062682132334416e-01,6.968123276495974405e-01,6.418482262773705926e-01,7.170172406758903438e-01,6.920359469379709916e-01,6.337913508710659727e-01,7.305467378977021919e-01
7.176539475787876432e-01,6.331643709217874560e-01,7.636217734950484504e-01,7.081380754594316373e-01,7.271515511812436383e-01,7.207005765064160574e-01,7.031053285219187599e-01,5.908704878008791406e-01,7.080297207660938286e-01,6.270427384277644789e-01,7.040617342263798539e-01,7.185761362358689119e-01,6.284968615570016848e-01,7.055792330428142245e-01,6.171287602162192076e-01,6.559999826919401533e-01,7.469751860637707797e-01,6.673034968055148175e-01,7.336437994264023432e-01,7.048127929978128536e-01,6.935450952474214725e-01,6.545442193082899873e-01,6.240398759195797673e-01,6.072226725139049375e-01,7.223063591655671800e-01,7.133599585432612855e-01,5.658802593865351893e-01,7.404529614928413439e-01,5.738134833175644323e-01,6.841494952418079034e-01,6.526946838358071989e-01,6.639416470169677842e-01,6.899602921638724462e-01,7.730515410496834328e-01,7.607964744268109758e-01,7.257492827481624165e-01,6.981801816880464084e-01,6.470237580973005054e-01,6.413273529654766048e-01,5.962984238964426087e-01,6.387332325418494383e-01,7.964057084414749577e-01,6.900421727014968143e-01,7.304157144852717609e-01,7.629583853319943376e-01,7.222120992759725189e-01,6.065107765568733544e-01,7.459255124209523968e-01,5.928129047864952872e-01,7.363406991968105553e-01,6.958184072362383343e-01,6.759677836072869317e-01,6.910839357150797557e-01,7.141160306571763261e-01,7.350644765106200129e-01,6.397555710684016406e-01,7.769894634525985611e-01,6.747385558504294112e-01,6.862299655837926782e-01,7.439739962549045682e-01
