X,Y,Z
-0.8378393565443959,-0.5380359431031339,0.09242584354169525
-0.8351874714088109,-0.5426172831981929,0.08960118066392304
-0.8325055300134169,-0.5471790777765152,0.08677326397412019
-0.8297936289069592,-0.5517211626148532,0.0839421952794578
-0.8270518657155647,-0.5562433742007791,0.08110807650373479
-0.8242803391392278,-0.5607455497385713,0.07827100968370769
-0.8214791489482584,-0.5652275271550735,0.07543109696541621
-0.8186483959796889,-0.56968914510553,0.07258844060050408
-0.8157881821336472,-0.5741302429793925,0.069743142942536
-0.8128986103696874,-0.5785506609061014,0.06689530644331015
-0.8099797847030857,-0.5829502397608393,0.06404503364916699
-0.8070318102010962,-0.587328821170259,0.06119242719729382
-0.8040547929791702,-0.5916862475181823,0.05833758981202611
-0.8010488401971382,-0.5960223619512738,0.05548062430114482
-0.7980140600553535,-0.6003370083846838,0.05262163355217053
-0.7949505617907988,-0.6046300315076674,0.04976072052865412
-0.7918584556731559,-0.6089012767891715,0.04689798826646427
-0.7887378530008388,-0.6131505904833968,0.04403353987007194
-0.7855888660969885,-0.617377819635329,0.04116747850883198
-0.7824116083054332,-0.6215828120862426,0.038299907413261794
-0.7792061939866093,-0.6257654164791759,0.0354309298713176
-0.7759727385134485,-0.6299254822643768,0.032560649224667934
-0.772711358267227,-0.634062859704718,0.029689168864964942
-0.7694221706333793,-0.6381773998810855,0.026816592230113328
-0.7661052939972756,-0.6422689546977349,0.023943022800537304
-0.7627608477399633,-0.6463373768876196,0.021068564095445448
-0.7593889522338735,-0.6503825200176879,0.01819331966909384
-0.7559897288384915,-0.6544042384941502,0.015317393107047371
-0.7525632998959915,-0.6584023875677162,0.012440888022439643
-0.7491097887268373,-0.6623768233388015,0.009563908052231325
-0.7456293196253462,-0.6663274027627026,0.0066865568534672576
-0.7421220178552198,-0.6702539836547419,0.003808938099532422
-0.7385880096450391,-0.6741564246953808,0.0009311554764068566
-0.7350274221837244,-0.678034585435303,-0.0019466873210802736
-0.7314403836159626,-0.6818883263004636,-0.004824486592997372
-0.7278270230375989,-0.6857175085971092,-0.007702138638057701
-0.7241874704909944,-0.689521994516765,-0.010579539757367147
-0.7205218569603496,-0.6933016471411891,-0.013456586258172313
-0.7168303143669963,-0.6970563304472965,-0.016333174457608818
-0.7131129755646526,-0.7007859093120489,-0.01920920068644965
-0.7093699743346468,-0.7044902495173122,-0.02208456129285341
-0.7056014453811075,-0.7081692177546834,-0.024959152646112426
-0.7018075243261205,-0.7118226816302806,-0.027832871140400357
-0.6979883477048524,-0.7154505096695041,-0.030705613198519516
-0.6941440529606425,-0.7190525713217611,-0.03357727527564735
-0.6902747784400608,-0.7226287369651592,-0.036447753863082355
-0.6863806633879358,-0.7261788779111641,-0.0393169454919889
-0.6824618479423469,-0.7297028664092259,-0.04218474673714115
-0.6785184731295875,-0.7332005756513696,-0.045051054220665715
-0.674550680859096,-0.7366718797767531,-0.047915764615783146
-0.6705586139183531,-0.7401166538761886,-0.050778774650547656
-0.6665424159677505,-0.7435347739966324,-0.053639981111585675
-0.6625022315354254,-0.7469261171456382,-0.05649928084783228
-0.6584382060120664,-0.7502905612957763,-0.05935657077426602
-0.654350485645687,-0.7536279853890189,-0.06221174787564168
-0.650239217536369,-0.756938269341087,-0.06506470921022078
-0.6461045496309752,-0.7602212940457669,-0.06791535191349998
-0.6419466307178313,-0.763476941379187,-0.07076357320193696
-0.6377656104213789,-0.7667050942040622,-0.07360927037667368
-0.6335616391967968,-0.7699056363739007,-0.07645234082725719
-0.6293348683245937,-0.7730784527371761,-0.07929268203535733
-0.6250854499051717,-0.7762234291414626,-0.08213019157848164
-0.6208135368533587,-0.779340452437535,-0.08496476713368718
-0.6165192828929135,-0.7824294104834324,-0.08779630648128901
-0.6122028425510002,-0.785490192148484,-0.09062470750856519
-0.6078643711526364,-0.7885226873173005,-0.09344986821345862
-0.6035040248151085,-0.7915267868937279,-0.09627168670827493
-0.5991219604423632,-0.7945023828047634,-0.09909006122337664
