X,Y,Z
-0.19697334368551833,-0.5834599659915781,-0.7878933747420733
-0.2038603903242965,-0.5834158604121963,-0.7861722935058969
-0.21074671586182409,-0.5832835503422102,-0.7844527529772853
-0.21763127895983148,-0.5830630557850913,-0.7827350122467114
-0.22451303839990777,-0.5827544100765978,-0.7810193295461504
-0.23139095324114897,-0.5823576598797351,-0.7793059622109606
-0.23826398297785706,-0.5818728651777012,-0.7775951666422704
-0.24513108769726466,-0.5813000992648176,-0.7758871982698704
-0.2519912282372616,-0.5806394487354488,-0.7741823115156212
-0.2588433663440995,-0.5798910134709099,-0.7724807597573775
-0.2656864648300494,-0.5790549066243661,-0.7707827952934326
-0.2725194877309885,-0.5781312546037255,-0.7690886693074874
-0.27934140046389233,-0.5771201970525281,-0.7673986318341481
-0.28615116998420603,-0.5760218868288334,-0.7657129317249519
-0.29294776494307284,-0.5748364899821101,-0.7640318166149269
-0.29973015584439294,-0.5735641857281325,-0.762355532889688
-0.3064973152016893,-0.5722051664218848,-0.7606843256530658
-0.3132482176947567,-0.5707596375284798,-0.7590184386952775
-0.3199818403260668,-0.5692278175920957,-0.7573581144616351
-0.3266971625769082,-0.5676099382029348,-0.7557035940217949
-0.3333931665632328,-0.5659062439622105,-0.7540551170395462
-0.3400688371911882,-0.5641169924451669,-0.7524129217431428
-0.34672316231230754,-0.5622424541621369,-0.7507772448961747
-0.3533551328783344,-0.5602829125176448,-0.7491483217689804
-0.35996374309565793,-0.5582386637675594,-0.7475263861105993
-0.36654799057933274,-0.5561100169743041,-0.7459116701212636
-0.37310687650665914,-0.5538972939601308,-0.7443044044254267
-0.3796394057703005,-0.5516008292584651,-0.74270481804533
-0.3861445871309103,-0.5492209700633293,-0.741113138375103
-0.3926214333692475,-0.5467580761768512,-0.7395295911553953
-0.3990689614377535,-0.5442125199548673,-0.7379544004485413
-0.4054861926115667,-0.5415846862506274,-0.7363877886142497
-0.411872152638951,-0.5388749723566101,-0.7348299762858205
-0.4182258718911128,-0.5360837879444577,-0.7332811823468813
-0.4245463855113827,-0.5332115550030394,-0.7317416239086452
-0.4308327335637374,-0.5302587077746528,-0.7302115162876801
-0.43708396118063797,-0.5272256926893714,-0.7286910729841933
-0.4432991187101598,-0.5241129682975515,-0.7271805056608197
-0.4494772618623899,-0.5209210052005051,-0.7256800241219156
-0.45561745185506886,-0.5176502859793516,-0.7241898362933502
-0.4617187555584525,-0.5143013051220581,-0.7227101482027922
-0.46778024563936815,-0.5108745689486798,-0.7212411639604834
-0.47380100070444575,-0.5073705955348109,-0.7197830857405008
-0.4797801054424954,-0.503789914633259,-0.7183361137624933
-0.48571665076601034,-0.5001330675939536,-0.716900446273896
-0.4916097339517729,-0.49640060728210167,-0.7154762795326115
-0.4974584587805373,-0.49259309799460144,-0.7140638077901537
-0.5032619356757678,-0.48871111537472905,-0.7126632232752491
-0.5090192818414102,-0.48475524632510875,-0.7112747161778901
-0.5147296213986704,-0.4807260889189814,-0.7098984746338317
-0.5203920855217807,-0.47662425230978406,-0.7085346847095285
-0.5260058125727296,-0.4724503566390541,-0.7071835303875036
-0.5315699482349316,-0.4682050329426726,-0.7058451935521435
-0.5370836456458179,-0.4638889230554601,-0.7045198539759137
-0.5425460655283204,-0.4595026795141401,-0.7032076893059865
-0.5479563763212333,-0.45504696545868445,-0.7019088750512745
-0.5533137543084253,-0.45052245453205547,-0.7006235845698656
-0.5586173837468833,-0.4459298307783608,-0.699351989056848
-0.5638664569935652,-0.4412697885394347,-0.6980942575325243
-0.5690601746310402,-0.43654303234986364,-0.6968505568310008
-0.5741977455918972,-0.4317502768304697,-0.6956210515891504
-0.5792783872818966,-0.4268922465802705,-0.6944059042359408
-0.5843013257018491,-0.42196967606692887,-0.6932052749821171
-0.5892657955681977,-0.41698330951571194,-0.6920193218102388
-0.5941710404322833,-0.4119339007969747,-0.6908482004650559
-0.599016312798275,-0.40682221331218416,-0.6896920644442236
-0.6038008742397434,-0.4016490198785045,-0.6885510649893429
-0.6085239955148573,-0.39641510261195717,-0.6874253510773263
-0.6131849566801857,-0.3911212528091759,-0.6863150694120737
-0.6177830472030845,-0.38576827082777326,-0.6852203644164562
-0.6223175660726484,-0.3803569659653376,-0.6841413782246019
-0.6267878219092111,-0.3748881563370785,-0.6830782506744695
-0.6311931330723719,-0.36936266875213886,-0.682031119300711
-0.6355328277675351,-0.36378133858859246,-0.6810001193278106
-0.6398062441509382,-0.35814500966714674,-0.6799853836634943
-0.6440127304331564,-0.3524545341235682,-0.6789870428924024
-0.6481516449810619,-0.3467107722798511,-0.6780052252700216
-0.6522223564182226,-0.3409145925141491,-0.6770400567168628
-0.6562242437237225,-0.33506687112948774,-0.676091660812884
